ProductID,StoreID,ReportDate,SalesCumulativeSum
114709835,12621218,2021-04-24,27.0
114709835,12621218,2021-04-25,27.0
114709835,12621218,2021-04-26,27.0
114709835,12621218,2021-04-28,27.0
114709835,12621218,2021-04-29,27.0
114709835,12621218,2021-05-01,46.0
114709835,12621218,2021-05-02,52.0
114709835,12621218,2021-05-03,52.0
114709835,12621218,2021-05-04,36.0
114709835,12621218,2021-05-05,29.0
114709835,12621218,2021-05-06,30.0
114709835,12621218,2021-05-08,50.0
114709835,12621218,2021-05-09,50.0
114709835,12621218,2021-05-10,27.0
114709835,12621218,2021-05-11,27.0
114709835,12621218,2021-05-13,27.0
114709835,12621218,2021-05-14,27.0
114709835,12621218,2021-05-15,27.0
114709835,12621218,2021-05-16,27.0
114709835,12621218,2021-05-17,27.0
114709835,12621218,2021-05-18,27.0
118870862,12304361,2021-05-06,
118870862,12304361,2021-05-08,20.0
118870862,12304361,2021-05-10,19.0
118870862,12304361,2021-05-11,16.0
118870862,12304361,2021-05-14,16.0
118870862,12304361,2021-05-15,16.0
118870862,12304361,2021-05-16,16.0
118870862,12304361,2021-05-17,16.0
118870862,12304361,2021-05-18,16.0
130151579,4140335,2021-04-23,0.0
130151579,4140335,2021-04-24,0.0
130151579,4140335,2021-04-25,0.0
130151579,4140335,2021-04-26,0.0
130151579,4140335,2021-04-27,0.0
130151579,4140335,2021-04-28,0.0
130151579,4140335,2021-04-29,0.0
130151579,4140335,2021-05-01,0.0
130151579,4140335,2021-05-03,0.0
130151579,4140335,2021-05-04,0.0
130151579,4140335,2021-05-05,0.0
130151579,4140335,2021-05-06,0.0
130151579,4140335,2021-05-08,0.0
130151579,4140335,2021-05-09,0.0
130151579,4140335,2021-05-10,0.0
130151579,4140335,2021-05-11,0.0
130151579,4140335,2021-05-13,0.0
130151579,4140335,2021-05-14,0.0
130151579,4140335,2021-05-15,0.0
130151579,4140335,2021-05-16,0.0
130151579,4140335,2021-05-17,0.0
130151579,4140335,2021-05-18,0.0
130153210,4140335,2021-04-23,24.0
130153210,4140335,2021-04-24,24.0
130153210,4140335,2021-04-25,24.0
130153210,4140335,2021-04-26,24.0
130153210,4140335,2021-04-27,24.0
130153210,4140335,2021-04-28,24.0
130153210,4140335,2021-04-29,24.0
130153210,4140335,2021-05-01,36.0
130153210,4140335,2021-05-03,36.0
130153210,4140335,2021-05-04,47.0
130153210,4140335,2021-05-05,47.0
130153210,4140335,2021-05-06,44.0
130153210,4140335,2021-05-08,44.0
130153210,4140335,2021-05-09,28.0
130153210,4140335,2021-05-10,24.0
130153210,4140335,2021-05-11,24.0
130153210,4140335,2021-05-13,24.0
130153210,4140335,2021-05-14,24.0
130153210,4140335,2021-05-15,24.0
130153210,4140335,2021-05-16,24.0
130153210,4140335,2021-05-17,24.0
130153210,4140335,2021-05-18,24.0
131271561,9427764,2021-04-29,43.0
133831286,15057789,2021-04-28,2.0
133831286,15057789,2021-04-29,2.0
133831286,15057789,2021-05-01,3.0
133831286,15057789,2021-05-04,3.0
133831286,15057789,2021-05-05,3.0
133831286,15057789,2021-05-06,4.0
133831286,15057789,2021-05-08,4.0
133831286,15057789,2021-05-09,4.0
133831286,15057789,2021-05-10,2.0
133831286,15057789,2021-05-11,2.0
133831286,15057789,2021-05-13,2.0
133831286,15057789,2021-05-14,2.0
133831286,15057789,2021-05-15,2.0
133831286,15057789,2021-05-16,2.0
133831286,15057789,2021-05-17,2.0
133831286,15057789,2021-05-18,2.0
147907650,16756146,2021-04-23,240.0
147907650,16756146,2021-04-24,240.0
147907650,16756146,2021-04-25,240.0
147907650,16756146,2021-04-26,241.0
147907650,16756146,2021-04-27,241.0
147907650,16756146,2021-04-28,241.0
147907650,16756146,2021-04-29,241.0
147907650,16756146,2021-05-01,322.0
147907650,16756146,2021-05-04,451.0
147907650,16756146,2021-05-05,451.0
147907650,16756146,2021-05-06,433.0
147907650,16756146,2021-05-08,475.0
147907650,16756146,2021-05-09,475.0
147907650,16756146,2021-05-10,245.0
147907650,16756146,2021-05-11,245.0
147907650,16756146,2021-05-13,245.0
147907650,16756146,2021-05-14,245.0
147907650,16756146,2021-05-15,245.0
147907650,16756146,2021-05-16,245.0
147907650,16756146,2021-05-17,245.0
147907650,16756146,2021-05-18,245.0
168005549,16756146,2021-04-23,153.0
168005549,16756146,2021-04-24,153.0
168005549,16756146,2021-04-25,153.0
168005549,16756146,2021-04-27,153.0
168005549,16756146,2021-04-28,153.0
168005549,16756146,2021-05-01,278.0
168005549,16756146,2021-05-03,278.0
168005549,16756146,2021-05-04,248.0
168005549,16756146,2021-05-05,261.0
168005549,16756146,2021-05-06,261.0
168005549,16756146,2021-05-08,234.0
168005549,16756146,2021-05-09,191.0
168005549,16756146,2021-05-10,153.0
168005549,16756146,2021-05-11,153.0
168005549,16756146,2021-05-13,153.0
168005549,16756146,2021-05-14,153.0
168005549,16756146,2021-05-15,153.0
168005549,16756146,2021-05-16,153.0
168005549,16756146,2021-05-17,153.0
168005549,16756146,2021-05-18,153.0
170265853,17644932,2021-04-23,258.0
170265853,17644932,2021-04-24,258.0
170265853,17644932,2021-04-25,258.0
170265853,17644932,2021-04-26,258.0
170265853,17644932,2021-04-27,258.0
170265853,17644932,2021-04-28,258.0
170265853,17644932,2021-04-29,258.0
170265853,17644932,2021-05-01,310.0
170265853,17644932,2021-05-03,339.0
170265853,17644932,2021-05-04,445.0
170265853,17644932,2021-05-05,445.0
170265853,17644932,2021-05-06,444.0
170265853,17644932,2021-05-08,476.0
170265853,17644932,2021-05-09,476.0
170265853,17644932,2021-05-10,259.0
170265853,17644932,2021-05-11,259.0
170265853,17644932,2021-05-13,259.0
170265853,17644932,2021-05-14,259.0
170265853,17644932,2021-05-15,259.0
170265853,17644932,2021-05-16,259.0
170265853,17644932,2021-05-17,259.0
170265853,17644932,2021-05-18,259.0
173065342,13728947,2021-04-29,6.0
176140179,4140335,2021-04-23,44.0
176140179,4140335,2021-04-24,44.0
176140179,4140335,2021-04-25,44.0
176140179,4140335,2021-04-26,44.0
176140179,4140335,2021-04-27,44.0
176140179,4140335,2021-04-28,44.0
176140179,4140335,2021-04-29,44.0
176140179,4140335,2021-05-01,84.0
176140179,4140335,2021-05-03,84.0
176140179,4140335,2021-05-04,66.0
176140179,4140335,2021-05-05,85.0
176140179,4140335,2021-05-06,85.0
176140179,4140335,2021-05-08,81.0
176140179,4140335,2021-05-09,81.0
176140179,4140335,2021-05-10,44.0
176140179,4140335,2021-05-11,44.0
176140179,4140335,2021-05-13,44.0
176140179,4140335,2021-05-14,44.0
